flyTime,localTime,windSpeed
49.7,5:58:38.60 PM,0.1966976
49.8,5:58:38.70 PM,0.1966976
49.9,5:58:38.80 PM,0.1966976
50.0,5:58:38.90 PM,0.1966976
50.1,5:58:39.00 PM,0.1966976
50.2,5:58:39.10 PM,0.2995168
50.3,5:58:39.20 PM,0.2995168
50.4,5:58:39.26 PM,0.2995168
50.5,5:58:39.37 PM,0.2995168
50.6,5:58:39.47 PM,0.2995168
50.7,5:58:39.60 PM,0.2995168
50.8,5:58:39.68 PM,0.2995168
50.9,5:58:39.78 PM,0.2995168
51.0,5:58:39.88 PM,0.2995168
51.1,5:58:39.98 PM,0.2995168
51.2,5:58:40.08 PM,0.2995168
51.3,5:58:40.19 PM,0.2995168
51.4,5:58:40.29 PM,0.2995168
51.5,5:58:40.39 PM,0.2995168
51.6,5:58:40.49 PM,0.2995168
51.7,5:58:40.59 PM,0.2995168
51.8,5:58:40.70 PM,0.2995168
51.9,5:58:40.80 PM,0.2995168
52.0,5:58:40.90 PM,0.3978656
52.1,5:58:41.00 PM,0.3978656
52.2,5:58:41.11 PM,0.3978656
52.3,5:58:41.21 PM,0.3978656
52.4,5:58:41.31 PM,0.3978656
52.5,5:58:41.41 PM,0.3978656
52.6,5:58:41.51 PM,0.2995168
52.7,5:58:41.62 PM,0.2995168
52.8,5:58:41.72 PM,0.2995168
52.9,5:58:41.82 PM,0.2995168
53.0,5:58:41.92 PM,0.2995168
53.1,5:58:42.02 PM,0.3978656
53.2,5:58:42.13 PM,0.3978656
53.3,5:58:42.23 PM,0.3978656
53.4,5:58:42.33 PM,0.3978656
53.5,5:58:42.40 PM,0.3978656
53.6,5:58:42.50 PM,0.2995168
53.7,5:58:42.60 PM,0.2995168
53.8,5:58:42.70 PM,0.2995168
53.9,5:58:42.80 PM,0.2995168
54.0,5:58:42.90 PM,0.2995168
54.1,5:58:43.00 PM,0.2995168
54.2,5:58:43.10 PM,0.2995168
54.3,5:58:43.20 PM,0.2995168
54.4,5:58:43.30 PM,0.2995168
